"","Analamanga","Bongolava","Itasy","Vakinankaratra","Diana","Sava","AmoroniMania","AtsimoAtsinanana","HauteMatsiatra","Ihorombe","VatovavyFitovinany","Betsiboka","Boeny","Melaky","Sofia","AlaotraMangoro","Analanjirofo","Atsinanana","Androy","Anosy","AtsimoAndrefana","Menabe"
"VatovavyFitovinany",484.602099950301,77.01641263017358,172.25970395225855,715.2565596584191,16.016100567599192,24.820951307061083,500.7923730126244,292.0641388315351,1200.2617757184314,124.38886508246631,0.,26.155176677415945,38.63666330283696,16.804549312705397,48.51900424154597,123.41231752757218,50.68318986479379,307.31321632981286,61.87765199006678,103.19153494929957,160.37035064606673,90.7282032182688
"Betsiboka",731.2165416636169,86.43719177506946,86.24134498365494,111.29378450764482,15.436874605840762,22.637190974574537,24.944841707398464,8.957993504096423,25.9980552744042,4.700024703623988,26.155176677415945,0.,203.2218435833545,21.45607678151566,94.54374412920075,192.63366882724117,63.06146707618155,78.0791356759114,4.859681914320618,5.639554396597312,14.531014003828219,17.30479283691678
"Boeny",461.4777013617469,95.49816376288366,83.58949143048655,134.23863772382225,43.64309752668113,53.068648634059045,35.141888624774715,15.509769787408421,40.91710821249531,8.144387313706373,38.63666330283695,203.2218435833545,0.,60.05117774161603,232.85598304259884,139.89312743012331,94.96981677852959,82.92330103856415,9.317610424470057,10.327753944181701,27.955398534695238,30.82341085178329
"Melaky",135.60277232292353,71.00272293025726,39.46708763529388,70.55762372449128,6.427489327173165,8.09338959982721,19.30526314749068,7.122726902724913,21.80153912209508,4.285847507814352,16.804549312705394,21.45607678151566,60.05117774161602,0.,22.428028615213737,27.939901554787614,13.921622866599973,24.017164833186225,4.488170575992094,4.965085720226598,15.866015574988257,27.94249994144848
"Sofia",435.4087343523898,55.879851365569664,70.55837478986183,125.6364848034037,249.11039335294387,419.2873369354605,35.352295488401715,19.571710168111053,44.50615519929221,9.204898251137626,48.51900424154597,94.54374412920075,232.85598304259884,22.42802861521374,0.,230.9127946700617,653.9412752544017,127.48737638703038,11.38866942265844,12.632686021581275,30.201993865972987,24.885217124538
"AlaotraMangoro",3758.3412149895885,145.50244398223757,293.27204259455476,423.43292966548125,42.79251359405,75.98343762645692,94.83769110534418,35.20184064470277,98.56543507201644,16.923207002299293,123.4123175275722,192.63366882724117,139.89312743012331,27.939901554787614,230.91279467006171,0.,351.6473326578259,1009.6153545408315,16.8643534023861,20.45836347642622,46.34047690717255,45.06559651481564
"Analanjirofo",447.785254768026,44.24078660825575,66.46238163371555,120.29684120742306,88.66861847737663,234.43198023994296,33.574624661029034,18.670173676825,41.93512713605755,8.393565316396966,50.683189864793796,63.06146707618156,94.96981677852959,13.921622866599973,653.9412752544017,351.6473326578259,0.,179.55632152267876,10.022464856881927,11.473362272206543,25.541646115753423,19.99700457591032
"Atsinanana",2289.862330878455,133.80088558797868,373.24367522767665,756.59082589295,32.4907867711911,56.416837809784134,183.05820820279374,64.0304711233751,187.12847451549595,29.13447804851223,307.31321632981286,78.07913567591142,82.92330103856415,24.01716483318623,127.48737638703038,1009.6153545408314,179.55632152267876,0.,26.10094646762113,33.74147916779423,68.9476321311812,59.85424501474544
"Androy",60.0438578344305,12.642187410877728,18.85041388691573,58.00147651226837,4.597200861928582,6.484670274255487,30.600087897343684,148.46910501898526,84.82225828555255,53.84251059829655,61.87765199006679,4.859681914320618,9.31761042447006,4.488170575992095,11.38866942265844,16.8643534023861,10.022464856881927,26.10094646762113,0.,473.70448934788595,333.1541594985196,24.192859605909202
"Anosy",74.25192751081767,15.265640416954056,24.017193940770373,77.93624262727317,4.908910195118809,7.060325970600694,44.52277258508595,515.6287489522888,145.32315482865636,127.63045893304334,103.19153494929957,5.639554396597313,10.327753944181701,4.965085720226598,12.632686021581275,20.45836347642622,11.473362272206543,33.74147916779424,473.70448934788595,0.,320.63665449409046,29.42094408719343
"AtsimoAndrefana",180.6628867196234,43.84516411134225,61.730362207083836,197.73866158694727,11.590794513026783,16.039281382598123,111.10582051314398,219.91540957755586,317.99107501338034,217.9004729187217,160.37035064606675,14.531014003828219,27.955398534695238,15.866015574988257,30.201993865972984,46.34047690717256,25.541646115753423,68.9476321311812,333.15415949851956,320.63665449409046,0.,125.81009543863873
"Menabe",229.18560518533434,93.72389715591181,103.45383883116641,343.74208642721453,8.145956949334542,11.184290914023832,162.6536770890286,41.23907088519939,204.98347146032984,36.18332966100998,90.72820321826877,17.304792836916782,30.823410851783283,27.94249994144848,24.885217124538,45.06559651481564,19.99700457591032,59.85424501474544,24.192859605909202,29.42094408719343,125.81009543863875,0.
