"","AN","BG","IT","VA","DI","SA","AM","AA","MA","IH","VF","BE","BO","MK","SO","AL","AJ","AT","AY","AS","AD","ME"
"VF",0.0028383616589582063,0.001044780558588796,0.0020252522374292438,0.00540406703423555,0.0001891692791914253,0.00026094587391639504,0.006109704066435819,0.0032113405023042932,0.011115313034869284,0.0021421397515367117,0.,0.00046390065277166674,0.00044607644984118823,0.00033636210490127174,0.00044132425220423215,0.0012270778914927245,0.0005260137332694875,0.002810151471486592,0.0007253104836104018,0.0012779392754113615,0.0013320553734457144,0.0012076435773120794
"BE",0.00817016345478211,0.0022368905954507834,0.0019342528389057383,0.0016041023928071955,0.0003478207571062716,0.00045400103624572413,0.0005805578733163512,0.00018789756952817318,0.0004592920023537385,0.00015440762164863685,0.00046390065277166674,0.,0.0044759205308921085,0.0008192808516580588,0.0016405180377080863,0.0036538281507404705,0.0012485315187116249,0.0013620272189618504,0.00010866764889911063,0.0001332334374780203,0.00023024829301569833,0.0004394051757299553
"BO",0.0033564317086221076,0.0016087237470027189,0.0012203706708536833,0.0012594504008186097,0.0006401091616510389,0.0006928108729931711,0.0005323928589533375,0.0002117669236849108,0.0004705386583182347,0.00017416840251480503,0.00044607644984118823,0.0044759205308921085,0.,0.0014926101001552614,0.002630134576339874,0.0017272478368147689,0.001223949212712042,0.0009416071088938201,0.0001356248691421917,0.00015882420210742122,0.00028834242235565487,0.0005094737536301001
"MK",0.0017098821270627566,0.002073633332931036,0.0009989544100316497,0.001147672534398698,0.0001634369881253449,0.00018317981787177717,0.000507053002944964,0.00016860466199631263,0.0004346583643504094,0.0001588979060135619,0.00033636210490127174,0.0008192808516580588,0.0014926101001552614,0.,0.0004391897346395978,0.0005980722601693079,0.00031105570533701224,0.0004728086297758784,0.00011325950200563692,0.00013237563618589515,0.00028371430954518995,0.0008007130170144489
"SO",0.0024949420555998463,0.0007416140111148525,0.0008115679355050857,0.0009286574386397324,0.00287850213793006,0.004312455680964316,0.00042194998378133094,0.00021053183910388587,0.00040322429154724255,0.00015508370730813047,0.00044132425220423215,0.0016405180377080863,0.002630134576339874,0.0004391897346395978,0.,0.002246169407661059,0.0066397660805843995,0.001140503342492407,0.00013060024844151362,0.0001530533128153108,0.00024542268438804176,0.00032405504500680147
"AL",0.023541126565105628,0.00211086607853498,0.003687352729279756,0.0034213074509584617,0.0005405180669241623,0.0008542786353681907,0.0012373485021023487,0.0004139254120837134,0.0009761554008925647,0.000311671834708387,0.0012270778914927245,0.0036538281507404705,0.0017272478368147689,0.0005980722601693079,0.002246169407661059,0.,0.003902914754972772,0.009873088599001283,0.00021140167276758926,0.00027094780134044355,0.00041163026128275944,0.0006414904355311339
"AJ",0.0029276580051367566,0.0006699351300576836,0.0008722469083258127,0.001014568131285508,0.0011690467490341713,0.002751167182832503,0.0004572374036484226,0.00022915249711083556,0.00043350269455267107,0.00016135442654492669,0.0005260137332694875,0.0012485315187116249,0.001223949212712042,0.00031105570533701224,0.0066397660805843995,0.003902914754972772,0.,0.0018328094108539653,0.00013113927732380263,0.0001586079553594895,0.00023681826670774134,0.0002971183855109249
"AT",0.013190925778950322,0.0017851891919139016,0.004315899719559231,0.005622162744731088,0.0003774309531486572,0.0005833433019947155,0.00219651988886055,0.000692433837691044,0.001704390338389409,0.0004934657341977007,0.002810151471486592,0.0013620272189618504,0.0009416071088938201,0.0004728086297758784,0.001140503342492407,0.009873088599001283,0.0018328094108539653,0.,0.00030090530817740815,0.00041097341244413974,0.0005632497657264091,0.0007835647437592914
"AY",0.0004433800309163615,0.00021621664416377238,0.0002794096592782689,0.0005524882279831739,0.00006845613930242003,0.00008594982789887181,0.0004706632012297431,0.00205811346254737,0.000990331640550929,0.0011690058883054076,0.0007253104836104018,0.00010866764889911063,0.0001356248691421917,0.00011325950200563692,0.00013060024844151362,0.00021140167276758926,0.00013113927732380263,0.00030090530817740815,0.,0.007396031414877473,0.0034887394912673803,0.0004059838636844481
"AS",0.0005792836745347087,0.000275840443675678,0.00037611340002047955,0.0007843311431952699,0.0000772289315222167,0.00009886848550590019,0.0007235120820209828,0.007551728405622873,0.0017925928395343916,0.002927667444076729,0.0012779392754113615,0.0001332334374780203,0.00015882420210742122,0.00013237563618589515,0.0001530533128153108,0.00027094780134044355,0.0001586079553594895,0.00041097341244413974,0.007396031414877473,0.,0.0035474189844257632,0.0005216199435813921
